Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
122.3,1,59,3481,1,0,0,0,0
122.4,1,20,400,0,1,0,0,0
122.6,0,26,676,0,0,0,1,0
122.6,0,33,1089,0,0,0,1,0
123,0,33,1089,0,0,0,1,0
123.9,1,19,361,0,0,1,0,0
124,1,24,576,0,1,0,0,0
124,1,31,961,0,0,0,1,0
124,1,22,484,0,0,1,0,0
124,0,21,441,0,0,1,0,0
124.84,0,65,4225,0,1,0,0,0
125,0,35,1225,0,1,0,0,0
125,0,57,3249,0,1,0,0,0
125,1,20,400,0,0,1,0,0
125,1,18,324,1,0,0,0,0
125,1,43,1849,1,0,0,0,0
125,1,23,529,0,1,0,0,0
125,1,44,1936,0,0,0,1,0
125,1,35,1225,0,1,0,0,0
125,1,47,2209,0,0,1,0,0
125,1,50,2500,1,0,0,0,0
125,0,65,4225,1,0,0,0,0
125,0,18,324,0,0,1,0,0
125,1,23,529,0,1,0,0,0
125,1,54,2916,0,0,0,0,1
125,0,46,2116,0,0,1,0,0
125,0,45,2025,0,1,0,0,0
125,1,18,324,1,0,0,0,0
126,0,50,2500,0,0,0,1,0
126,0,30,900,0,0,0,1,0
126,1,60,3600,0,0,0,0,1
126,1,20,400,0,1,0,0,0
126.5,1,60,3600,0,0,1,0,0
126.92,1,18,324,0,1,0,0,0
127.5,1,18,324,0,1,0,0,0
127.5,0,18,324,0,1,0,0,0
128,1,20,400,0,0,1,0,0
128,1,25,625,0,0,1,0,0
128,1,20,400,1,0,0,0,0
128,0,64,4096,0,1,0,0,0
128,1,22,484,0,1,0,0,0
128,0,18,324,0,1,0,0,0
128,1,63,3969,0,1,0,0,0
128.75,0,19,361,0,1,0,0,0
128.75,1,37,1369,1,0,0,0,0
128.75,1,20,400,0,0,1,0,0
128.75,1,18,324,0,1,0,0,0
129,1,43,1849,0,1,0,0,0
129.23,1,61,3721,0,1,0,0,0
129.48,0,62,3844,0,1,0,0,0
129.6,1,18,324,1,0,0,0,0
130,1,53,2809,0,1,0,0,0
130,0,21,441,0,0,1,0,0
130,1,53,2809,0,0,1,0,0
130,1,57,3249,0,1,0,0,0
130,1,22,484,0,0,1,0,0
130,0,51,2601,0,0,0,1,0
130,1,23,529,1,0,0,0,0
130,1,40,1600,0,1,0,0,0
130,1,43,1849,0,0,1,0,0
130,1,37,1369,0,1,0,0,0
130,0,19,361,0,0,1,0,0
130,1,20,400,0,0,1,0,0
130,0,24,576,0,1,0,0,0
130,0,20,400,0,0,1,0,0
130,0,20,400,0,1,0,0,0
130,1,21,441,0,0,1,0,0
130,1,21,441,0,1,0,0,0
130,1,59,3481,0,1,0,0,0
130,1,37,1369,0,0,0,1,0
130,1,26,676,0,0,1,0,0
130,1,39,1521,0,1,0,0,0
130,0,45,2025,0,0,1,0,0
130,1,46,2116,0,0,0,1,0
130,0,20,400,0,0,1,0,0
130,1,18,324,0,0,1,0,0
130,0,20,400,1,0,0,0,0
130,0,20,400,0,1,0,0,0
130,1,21,441,0,0,1,0,0
130,0,18,324,1,0,0,0,0
130.05,0,22,484,0,0,0,1,0
130.4,1,55,3025,0,0,0,0,1
130.5,1,62,3844,0,1,0,0,0
130.5,1,32,1024,0,1,0,0,0
131.24,0,60,3600,0,1,0,0,0
131.39,1,28,784,0,0,0,1,0
131.53,1,55,3025,0,1,0,0,0
131.8,1,42,1764,0,0,1,0,0
131.95,0,22,484,0,0,1,0,0
132,1,37,1369,0,0,0,1,0
132,1,48,2304,0,0,1,0,0
132,1,61,3721,0,1,0,0,0
132,0,22,484,0,0,1,0,0
132,1,50,2500,0,1,0,0,0
132,1,40,1600,0,0,1,0,0
132.69,1,43,1849,1,0,0,0,0
132.8,1,20,400,0,0,1,0,0
132.92,1,61,3721,0,1,0,0,0
133,0,60,3600,0,0,0,0,1
133,0,19,361,0,0,1,0,0
133,1,45,2025,0,0,1,0,0
133.2,1,47,2209,1,0,0,0,0
133.75,1,38,1444,0,1,0,0,0
133.75,0,19,361,0,1,0,0,0
134,1,30,900,0,0,1,0,0
134,0,58,3364,1,0,0,0,0
134,0,45,2025,0,1,0,0,0
134.61,1,50,2500,0,0,1,0,0
134.61,1,38,1444,0,1,0,0,0
135,0,20,400,0,0,1,0,0
135,1,22,484,0,0,1,0,0
135,0,22,484,1,0,0,0,0
135,0,18,324,1,0,0,0,0
135,0,60,3600,0,1,0,0,0
135,1,20,400,0,0,1,0,0
135,0,49,2401,0,0,0,1,0
135,1,39,1521,0,1,0,0,0
135,1,19,361,0,0,1,0,0
135,0,40,1600,0,0,1,0,0
135.69,0,51,2601,0,0,1,0,0
136,1,49,2401,0,1,0,0,0
136,0,64,4096,0,0,1,0,0
136,1,18,324,0,0,1,0,0
136.25,1,21,441,0,0,1,0,0
136.25,0,20,400,0,1,0,0,0
136.32,0,19,361,0,0,1,0,0
136.5,1,44,1936,1,0,0,0,0
